epoch,tr_prob,tr_dice,val_prob,val_dice,lr
1,0.3867541530397203,0.8241182245148553,0.3030026137828827,0.5784908270835877,1e-05
2,0.21478654768731859,0.7166670784685347,0.20083076894283294,0.43189712762832644,1e-05
3,0.11157046678993437,0.6044739374849531,0.11049784064292907,0.28733068585395816,1e-05
4,0.061511451858613224,0.4963556452592214,0.08561044335365295,0.19394081830978394,1e-05
5,0.042973241926067406,0.4310465457704332,0.08136562258005142,0.15515231013298034,1e-05
6,0.03470806824871235,0.3638532536559635,0.06997624963521958,0.12610750794410705,1e-05
7,0.033140372874008284,0.3494749383131663,0.07424965523183345,0.1178284764289856,1e-05
8,0.032873893963793914,0.31670434832572936,0.072674098610878,0.11748577117919921,1e-05
9,0.030899246010618907,0.3251852548122406,0.07483455374836921,0.1112734591960907,1e-05
10,0.031505002482897705,0.28041325410207113,0.08405213676393032,0.11755609035491943,1e-05
11,0.031176434117369353,0.31158857504526777,0.07032925114035607,0.10703823208808899,1e-05
14,0.02887440137888512,0.2813216906123691,0.06973224014043808,0.10595014333724975,1e-05
15,0.02803559823158947,0.24440687113338047,0.07493285492062568,0.1034695565700531,1e-05
16,0.02733286986802543,0.20270280255211723,0.08940491743385792,0.104183429479599,1e-05
17,0.025133954463235568,0.16515426874160766,0.07880909875035286,0.09623772740364074,5e-06
18,0.025407584637351748,0.13456086768044365,0.07399331331253052,0.09736356616020203,5e-06
19,0.023756554349222116,0.1423944738176134,0.07188496291637421,0.09370290637016296,5e-06
20,0.024693603820245092,0.1474327744377984,0.07527103640139103,0.09289912462234497,5e-06
21,0.025197019040190047,0.13226735499170092,0.07499839171767235,0.1005140233039856,2.5e-06
22,0.023964205194400467,0.13171387844615512,0.0718808900564909,0.09358304381370544,2.5e-06
23,0.024219018163663956,0.11674104664060804,0.07129747971892357,0.09417104482650757,2.5e-06
24,0.02519529586001429,0.12465459797117445,0.07070019125938415,0.09532450914382934,2.5e-06
25,0.021821772466711183,0.1305176231596205,0.06955407693982124,0.09347561955451965,2.5e-06
26,0.02025832199055003,0.09757450103759766,0.07162705466151237,0.09388375520706177,2.5e-06
27,0.01940471936605819,0.10977431668175591,0.07189217016100884,0.09043825268745423,2.5e-06
28,0.01828462877010073,0.11048698491520352,0.07675613820552826,0.0942501187324524,2.5e-06
29,0.02005490807428335,0.09439907418357002,0.07460345081984997,0.09210556387901306,2.5e-06
30,0.018529338596539068,0.1025932216644287,0.07860243692994118,0.09544945478439332,2.5e-06
31,0.0192017492418462,0.11699065844217936,0.08332235231995583,0.09547616839408875,1.25e-06
32,0.01977308838783453,0.09867512040668064,0.07478759415447712,0.0917214560508728,1.25e-06
33,0.020938736350298214,0.10494987792438931,0.0748747294396162,0.09256022572517394,1.25e-06
34,0.021236382231032216,0.09285294307602776,0.0722686468064785,0.09251127004623413,1.25e-06
35,0.018835464526621055,0.11121184375551012,0.07358301170170307,0.09185337066650391,6.25e-07
36,0.017670312831598697,0.08006067090564303,0.071890177577734,0.09039736509323121,6.25e-07
37,0.016408803013489685,0.09102384858661228,0.07339228175580502,0.09074092745780944,6.25e-07
38,0.015784804353509874,0.09484909627172682,0.07536940932273865,0.0912181270122528,6.25e-07
39,0.01678681698802393,0.07832708146837022,0.0742345940321684,0.09006047010421753,6.25e-07
40,0.015535007150028833,0.082747712665134,0.07530863493680955,0.09168840527534484,3.125e-07
41,0.015644726280750344,0.10007082316610548,0.07599045127630234,0.09184909582138062,3.125e-07
42,0.017455459061473246,0.08749758733643426,0.07637787513434886,0.09206807732582092,3.125e-07
43,0.01821419718958269,0.09070100161764356,0.07624963954091073,0.09228169322013854,3.125e-07
44,0.019212815620186223,0.08085580521159702,0.07458992287516594,0.09152044177055359,1.5625e-07
45,0.02162916225885662,0.09869205726517571,0.07496536329388619,0.09212510943412781,1.5625e-07
