epoch,phase,trn_loss,trn_drug4,trn_time,trn_drug4_acc,trn_time_acc,val_loss,val_drug4,val_time,val_drug4_acc,val_time_acc,lr_backbone,lr_head,elapsed_s,timestamp
1,AB,1.5955,0.9435,1.63,0.5919,0.2182,2.487,1.8264,1.6514,0.2405,0.2039,0.00e+00,2.00e-04,870.1,2026-04-17 13:44:53
2,AB,1.3671,0.7267,1.6011,0.6949,0.2338,2.471,1.8193,1.6294,0.2702,0.2055,0.00e+00,2.00e-04,872.3,2026-04-17 13:59:26
3,AB,1.2775,0.642,1.5889,0.7326,0.2421,2.2566,1.6051,1.6288,0.2784,0.2002,0.00e+00,2.00e-04,949.6,2026-04-17 14:15:17
4,AB,1.0635,0.4372,1.5659,0.8288,0.2635,2.315,1.6583,1.6418,0.3011,0.2178,5.00e-05,2.00e-04,980.7,2026-04-17 14:31:38
5,AB,0.8723,0.2671,1.5132,0.8987,0.296,1.8832,1.2414,1.6046,0.3997,0.226,5.00e-05,2.00e-04,994.3,2026-04-17 14:48:14
6,AB,0.7965,0.2151,1.4533,0.9214,0.3283,1.8286,1.1926,1.59,0.5419,0.2388,5.00e-05,2.00e-04,998.3,2026-04-17 15:04:54
7,AB,0.7379,0.1782,1.3993,0.9356,0.3536,1.7887,1.1543,1.586,0.5598,0.2516,5.00e-05,2.00e-04,993.4,2026-04-17 15:21:29
8,AB,0.7006,0.156,1.3616,0.9411,0.3764,1.5557,0.9162,1.5987,0.623,0.2268,5.00e-05,2.00e-04,984.8,2026-04-17 15:37:55
9,AB,0.6716,0.1397,1.3296,0.9491,0.386,2.1389,1.4932,1.6142,0.4529,0.2125,5.00e-05,2.00e-04,986.9,2026-04-17 15:54:23
10,AB,0.6424,0.1199,1.3061,0.957,0.3979,2.0545,1.3305,1.8101,0.5431,0.2166,5.00e-05,2.00e-04,977.7,2026-04-17 16:10:42
11,AB,0.6311,0.1164,1.2867,0.9577,0.4034,2.055,1.4153,1.5994,0.5234,0.2364,5.00e-05,2.00e-04,961.8,2026-04-17 16:26:45
12,AB,0.6091,0.1006,1.2713,0.9639,0.4139,2.7422,2.1204,1.5545,0.4247,0.2513,2.50e-05,1.00e-04,934.0,2026-04-17 16:42:20
13,AB,0.572,0.0788,1.2331,0.9723,0.4323,2.4922,1.8803,1.5299,0.4506,0.2821,2.50e-05,1.00e-04,944.3,2026-04-17 16:58:05
14,AB,0.5608,0.0736,1.2182,0.9735,0.4424,3.0001,2.3525,1.6189,0.4032,0.2203,2.50e-05,1.00e-04,885.4,2026-04-17 17:12:51
15,AB,0.5495,0.0693,1.2005,0.9755,0.4501,3.2226,2.5936,1.5726,0.391,0.2422,2.50e-05,1.00e-04,924.5,2026-04-17 17:28:16
16,AB,0.5433,0.0652,1.1951,0.9763,0.4513,2.4875,1.8427,1.6121,0.5274,0.2354,1.25e-05,5.00e-05,900.8,2026-04-17 17:43:18
17,AB,0.5223,0.0549,1.1686,0.9808,0.463,2.7766,2.143,1.5841,0.4812,0.239,1.25e-05,5.00e-05,914.6,2026-04-17 17:58:33
18,AB,0.5201,0.0535,1.1667,0.9817,0.4648,1.8572,1.208,1.6232,0.6394,0.2364,1.25e-05,5.00e-05,941.8,2026-04-17 18:14:16
19,AB,0.5107,0.049,1.1542,0.9827,0.469,2.6704,2.0169,1.6337,0.5147,0.2372,1.25e-05,5.00e-05,938.2,2026-04-17 18:29:55
20,AB,0.5095,0.0491,1.1509,0.984,0.4742,2.5969,1.9663,1.5765,0.5266,0.2643,6.25e-06,2.50e-05,938.1,2026-04-17 18:45:34
